,Security Center, , ,Setting Data Source, , ,Default, System User,"Đã có, cần hoàn thiện UI, UX",Default,Default,Default
,Security Center, , ,Delete Data Source, , ,Default, System User,"Đã có, cần hoàn thiện UI, UX",Default,Default,Default
,Security Center, ,Storage Policy, , ,"Cấu hình chính sách lưu trữ dữ liệu log, alert: hot, warm, cold",Default, System User,Chưa phát triển,Default, ,Default
,Security Center, ,Audit Log (System log), , ,"Thiếu thông tin: user thực hiện, IP máy thực hiện, Hành động thực hiện, Kết quả thực hiện.
Thiếu các loại log cần ghi",Default,All,"Đã có, cần hoàn thiện UI, UX",Default,Default,Default
,Security Center, ,Preferences, , , ,Default,System User,"Đã có của Grafana, cần đánh giá lại",Default,Default,Default
,Security Center,Account info,My Account, , , ,Default,All,,Default,Default,Default
,Security Center,,Change Password, , , ,Default,All,,Default,Default,Default
,Security Center,,License info, , , ,Default,All,Chưa phát triển,Default,Default,Default
,Security Center, ,Dashboard, , , ,Add-on,Org User,Đã có nhưng chưa dùng được,Add-on,Add-on,Add-on
,Security Center, ,Inventory, , , ,Add-on,Org User,Đã có nhưng chưa dùng được,Add-on,Add-on,Add-on
,Security Center,Playbook Management,Playbook list,List Playbook, , ,Tier,Org User,Đã có nhưng chưa dùng được,x, ,x
,Security Center, , ,Create Playbook, , ,Tier,Org User,Đã có nhưng chưa dùng được,x, ,x
,Security Center, , ,Edit Playbook, , ,Tier,Org User,Đã có nhưng chưa dùng được,x, ,x
,Security Center, , ,Delete Playbook, , ,Tier,Org User,Đã có nhưng chưa dùng được,x, ,x
,Security Center,Authentication,Single-Factor Authentication, , , ,Default,All, ,Default,Default,Default
,Security Center, ,Multi-Factor Authentication, , , ,Tier,All,Chưa phát triển,x,x,x
,Security Center, ,Single Sign-On, , , ,Tier,All,Chưa phát triển,x,x,x
,Security Center, ,Activation User, , , ,Default,All,Chưa phát triển,Default,Default,Default
